jméno,rok vydání,režisér,hlavní herci
Barry Lyndon,1975,Stanley Kubrick ,"["" Ryan O'Neal"", ' Marisa Berenson']"
Kmotr II,1974,Francis Ford Coppola ,"[' Al Pacino', ' Robert De Niro']"
Čínská čtvrť,1974,Roman Polanski ,"[' Jack Nicholson', ' Faye Dunaway']"
Podraz,1973,George Roy Hill ,"[' Paul Newman', ' Robert Redford']"
Kmotr,1972,Francis Ford Coppola ,"[' Marlon Brando', ' Al Pacino']"
Mechanický pomeranč,1971,Stanley Kubrick ,"[' Malcolm McDowell', ' Patrick Magee']"
Z,1969,Costa-Gavras ,"[' Yves Montand', ' Irene Papas']"
Tenkrát na Západě,1968,Sergio Leone ,"[' Henry Fonda', ' Charles Bronson']"
2001: Vesmírná odysea,1968,Stanley Kubrick ,"[' Keir Dullea', ' Gary Lockwood']"
Frajer Luke,1967,Stuart Rosenberg ,"[' Paul Newman', ' George Kennedy']"
"Hodný, Zlý a Ošklivý",1966,Sergio Leone ,"[' Clint Eastwood', ' Eli Wallach']"
Persona,1966,Ingmar Bergman ,"[' Bibi Andersson', ' Liv Ullmann']"
Andrej Rublev,1966,Andrei Tarkovsky ,"[' Anatoliy Solonitsyn', ' Ivan Lapikov']"
Bitva o Alžír,1966,Gillo Pontecorvo ,"[' Brahim Hadjadj', ' Jean Martin']"
Pro pár dolarů navíc,1965,Sergio Leone ,"[' Clint Eastwood', ' Lee Van Cleef']"
Dr. Divnoláska aneb Jak jsem se naučil nedělat si starosti a mít rád bombu,1964,Stanley Kubrick ,"[' Peter Sellers', ' George C. Scott']"
Nebe a peklo,1963,Akira Kurosawa ,"[' Toshirô Mifune', ' Yutaka Sada']"
Velký útěk,1963,John Sturges ,"[' Steve McQueen', ' James Garner']"
Seppuku,1962,Masaki Kobayashi ,"[' Tatsuya Nakadai', ' Akira Ishihama']"
Lawrence z Arábie,1962,David Lean ,"["" Peter O'Toole"", ' Alec Guinness']"
Jako zabít ptáčka,1962,Robert Mulligan ,"[' Gregory Peck', ' John Megna']"
Tělesná stráž,1961,Akira Kurosawa ,"[' Toshirô Mifune', ' Eijirô Tôno']"
Norimberský proces,1961,Stanley Kramer ,"[' Spencer Tracy', ' Burt Lancaster']"
Psycho,1960,Alfred Hitchcock ,"[' Anthony Perkins', ' Janet Leigh']"
Byt,1960,Billy Wilder ,"[' Jack Lemmon', ' Shirley MacLaine']"
Na sever severozápadní linkou,1959,Alfred Hitchcock ,"[' Cary Grant', ' Eva Marie Saint']"
Nekdo to rád horké,1959,Billy Wilder ,"[' Marilyn Monroe', ' Tony Curtis']"
Ben Hur,1959,William Wyler ,"[' Charlton Heston', ' Jack Hawkins']"
Nikdo mne nemá rád,1959,François Truffaut ,"[' Jean-Pierre Léaud', ' Albert Rémy']"
Vertigo,1958,Alfred Hitchcock ,"[' James Stewart', ' Kim Novak']"
Dvanáct rozhněvaných mužů,1957,Sidney Lumet ,"[' Henry Fonda', ' Lee J. Cobb']"
Stezky slávy,1957,Stanley Kubrick ,"[' Kirk Douglas', ' Ralph Meeker']"
Svědek obžaloby,1957,Billy Wilder ,"[' Tyrone Power', ' Marlene Dietrich']"
Sedmá pečeť,1957,Ingmar Bergman ,"[' Max von Sydow', ' Gunnar Björnstrand']"
Lesní jahody,1957,Ingmar Bergman ,"[' Victor Sjöström', ' Bibi Andersson']"
Most přes řeku Kwai,1957,David Lean ,"[' William Holden', ' Alec Guinness']"
Cabiriiny noci,1957,Federico Fellini ,"[' Giulietta Masina', ' François Périer']"
Pather Panchali,1955,Satyajit Ray ,"[' Kanu Bannerjee', ' Karuna Bannerjee']"
Sedm samurajů,1954,Akira Kurosawa ,"[' Toshirô Mifune', ' Takashi Shimura']"
Okno do dvora,1954,Alfred Hitchcock ,"[' James Stewart', ' Grace Kelly']"
Vrazda na objednávku,1954,Alfred Hitchcock ,"[' Ray Milland', ' Grace Kelly']"
V prístavu,1954,Elia Kazan ,"[' Marlon Brando', ' Karl Malden']"
