date,location,state,airline,aircraft_brand,no_deaths,no_survivors,no_ground_casualties
08-04-1951,Near Charleston, West Virginia,Military - U.S. Air Force,Douglas,21,0,0
09-04-1951,Cape d'Arguilar, Hong Kong,Siamese Airways,Douglas,16,0,0
25-04-1951,Key West, Florida,Cubana de Aviacion / Military -  US Navy,Douglas,43,0,0
28-04-1951,Fort Wayne, Indiana,United Air Lines,Douglas,11,0,0
06-05-1951,Near Albuquerque, New Mexico,Military - U.S. Air Force,Convair,23,2,0
08-05-1951,Bordeaux, France,Hunting Air Travel,Vickers,2,30,0
18-05-1951,Rancharia,  Brazil,VASP,Douglas,7,0,0
03-06-1951,New Boston, Texas,Military - U.S. Air Force,Fairchild,10,0,0
06-06-1951,Rio de Janeiro, Brazil,Lineas Aéreas Trans. Brasileira,Douglas,2,17,0
13-06-1951,Medellin, Colombia,Sociedad Aeronautica Medellin,Douglas,3,0,0
22-06-1951,Near Sanoyea, Liberia,Pan American World Airways,Lockheed,40,0,0
29-06-1951,Near Rijeka, Yugoslavia,JAT Yugoslav Airlines,Junkers,14,0,0
30-06-1951,neznama,neznama,United Air Lines,Douglas,50,0,0
12-07-1951,Lyneham AFB, England,Military - Royal Air Force,Vickers,10,0,0
12-07-1951,Near Tezpur, India,Indamer,Douglas,3,0,0
12-07-1951,Aracaju, Brazil,Loide Aereo Nacional,Douglas,33,0,0
16-07-1951,Off Lae, New Guinea,Qantas,de,7,0,0
20-07-1951,Thudamot, China,Air Outre-Mer,Douglas,3,0,0
21-07-1951,Near Sitka, Alaska,Canadian Pacific Air Lines,Douglas,37,0,0
24-07-1951,Gao, Mali,Sabena,Douglas,3,0,0
29-07-1951,Cochabamba, Bolivia,Loide Aéreo Nacional,Curtiss,7,0,0
08-08-1951,Barilla Bay, Australia,Trans Australia Airlines,?VH-TAT,2,0,0
11-08-1951,Moisville, France,Air France,Douglas,5,0,0
17-08-1951,Ubatuba, Brazil,REAL,Douglas,10,0,0
24-08-1951,Decoto, California,United Air Lines,Douglas,50,0,0
08-09-1951,Sao Paulo, Brazil,VASP,Douglas,13,0,3
12-09-1951,Off Ialas Baeares, Spain,Societe Alpes Provence,Douglas,39,0,0
12-09-1951,Off Redwood City, California,United Air Lines,Boeing,3,0,0
15-09-1951,Bangalore, India,Air India,Douglas,22,6,0
27-09-1951,neznama,neznama,Military - US Air Force,	Fairchild,14,0,0
29-09-1951,La Paz, Bolivia,Frigorifico Cooperativo Los Andes,Curtiss,27,0,0
08-10-1951,Cerro Blanco, Mexico,Aero Transportes,Douglas,8,0,0
15-10-1951,East Griqualand, South Africa,South African Airways,Douglas,17,0,0
15-10-1951,neznama,neznama,Military - U.S. Air Force,Boeing,12,0,0
17-10-1951,neznama,neznama,Queen Charlotte Airlines,Consolidated,23,0,0
22-10-1951,Skopje, Yugoslavia,JAT Yugoslav Airlines,Douglas,12,0,0
27-10-1951,Near Flores, Guatemala,Military - Guatemalan Air Force,Douglas,27,2,0
05-11-1951,Near Tucumcari, New Mexico,Transocean Air Lines,Martin,1,28,0
13-11-1951,Puy-de-Dôme, France,Military - U. S. Air Force,Fairchild,36,0,0
15-11-1951,Near Lodz, Poland,LOT Polish Airlines,Lisunov,18,0,0
17-11-1951,Near  Novosibirsk, Russia,Aeroflot,Ilyushin,23,0,0
19-11-1951,Cairo, Egypt,Devlet Hava Yollari,Douglas,5,0,0
21-11-1951,Calcutta, India,Deccan Airways,Douglas,16,1,0
24-11-1951,Zurich, Switzerland,El Al,Douglas,6,1,0
27-11-1951,San Luis Acatlan, Mexico,Lineas Aereas Unidas,DC-2-243XA-DOQ,13,8,0
04-12-1951,Denver, Colorado,United Air Lines,Douglas,3,0,0
13-12-1951,neznama,neznama,Qantas,de,3,0,0
16-12-1951,Elizabeth, New Jersey,Miami Airlines,Curtiss,56,0,1
23-12-1951,Tehran, Iran,Misrair,SNCASE,22,0,0
27-12-1951,Near Namtso, Russia,Aeroflot,,20,0,0
29-12-1951,Near Little Valley, New York,Continental Charters,Curtiss,26,14,0
30-12-1951,Near Fairbanks, Alaska,Transocean Air Lines,Curtiss,4,0,0
30-12-1951,Near Phoenix, Arizona,Military - U.S. Air Force,Douglas,28,0,0
31-12-1951,Calcutta, India,Kalinga Airlines,Douglas,3,0,0
02-01-1952,Andapa, Madagascar,Air France,Junkers,6,5,0
10-01-1952,Com Edno, Ireland,Aer Lingus,Douglas,23,0,0
19-01-1952,neznama,neznama,Northwest Orient Airlines,Douglas,36,7,0
22-01-1952,Elizabeth, New Jersey,American Airlines,Convair,23,0,7
04-02-1952,Kikwit, Belgian Congo,Sabena,Douglas,15,0,0
07-02-1952,Kaneko, Japan,Military - U.S. Air Force,Boeing,13,0,5
11-02-1952,Elizabeth, New Jersey,National Airlines,Douglas,29,34,4
16-02-1952,Near Burgio, Italy,Hunting Air Travel,Vickers,31,0,0
19-02-1952,Nagpur, India,Deccan Airways,Douglas,3,13,0
19-02-1952,Near Yaounde, Cameroon,STAAP,Consolidated,9,0,0
28-02-1952,Uberlandia,  Brazil,Panair do Brasil,Douglas,8,0,0
03-03-1952,Nice, France,Air France,SNCASE,38,0,0
10-03-1952,Cebu, Philippines,Philippine Air Lines,Douglas,3,0,0
12-03-1952,Near Sequin, Texas,Military - U.S. Air Force / U.S. Air Force,Boeing,0,0,0
22-03-1952,neznama,neznama,Maritime Central Airways,Douglas,4,0,0
22-03-1952,Frankfurt, Germany,KLM Royal Dutch Airlines,Douglas,45,2,0
24-03-1952,Near Gao, French West Africa,Société Aérienne de Tr. Tropicaux,Lockheed,17,4,0
26-03-1952,Moscow, Russia,Aeroflot,??,70,0,0
29-03-1952,Near San Felipe, Venezuela,TACA,Douglas,12,0,0
30-03-1952,Baguio, Philippines,Philippine Air Lines,Douglas,10,19,0
05-04-1952,New York, New York,US Airlines,Curtiss,2,0,3
09-04-1952,Mihara Volcano, Japan,Japan Air Lines,Martin,37,0,0
10-04-1952,Agartala, India,Kalinga Airlines,Douglas,4,0,0
11-04-1952,North of San Juan, Puerto Rico,Pan American World Airways,Douglas,52,17,0
18-04-1952,Near Whittier, California,North Continental Airlines (Robin Airlines),Curtiss,29,0,0
29-04-1952,Near Carolina, Brazil,Pan American World Airways,Boeing,50,0,0
30-04-1952,Delhi,  India,Deccan Airways,Douglas,9,0,0
05-05-1952,Near Skien, Norway,Fred Olsen Flyveselskap,Douglas,11,18,0
09-05-1952,Ipoh, Malaysia,Garuda Indonesia Airlines,Douglas,17,0,0
13-05-1952,Sao Paulo, Brazil,VASP,Douglas,5,17,0
24-05-1952,Near Manaus, Brazil,Loide Aéreo Nacional,Curtiss,6,0,0
26-05-1952,Near Atar, Mauritania,British Overseas Airways,Handley,1,17,0
13-06-1952,neznama,neznama,Swedish Air Force,Douglas,8,0,0
14-06-1952,neznama,neznama,Morton Air Services,Airspeed,0,0,0
24-06-1952,Lakenheath AFB, England,Military - U.S. Air Force,Boeing,11,0,0
25-06-1952,Off Northumberland, North Sea,Military - Royal Air Force,Avro,11,2,0
18-07-1952,neznama,neznama,Military - Navy,Fairchild,41,5,0
27-07-1952,Off Rio de Janeiro, Brazil,Pan American World Airways,Boeing,1,26,0
12-08-1952,Palmeira de Goias, Brazil,Transportes Areos Nacionales,Douglas,24,0,0
21-08-1952,Off Trapani, Italy,Airwork,Handley,7,50,0
26-08-1952,Near Khewra, West Pakistan,Military - Pakistan Air Force,Bristol,18,0,0
29-08-1952,Kosti, Sudan,Phoenix Airlines,Douglas,2,2,0
06-09-1952,Near Farnsborough, England,Private - de Havilland Aircraft,de,1,0,29
10-09-1952,San Blas, Panama,SAM Colombia,Curtiss,46,0,0
15-09-1952,Wadi Halfa, Sudan,Kalinga Airlines,Douglas,3,0,0
05-10-1952,Skvoritsy, Russia,Aeroflot,Ilyushin,21,0,0
08-10-1952,Off Tarbat Ness, Scotland,Military - Royal Air Force,Avro,14,0,0
14-10-1952,San Fransisco do Paula, Brazil,Aero Brasil,Douglas,14,14,0
16-10-1952,Off Kangnung, South Korea,Military - U.S. Air Force,Curtiss-Wright,25,0,0
29-10-1952,Near Flagstaff, Arizona,Military - U.S. Air Force,Boeing,16,0,0
06-11-1952,Lake Chad, Chad,Union Aeromaritime de Transport,Douglas,5,1,0
07-11-1952,Near Summit, Alaska,Military - U.S. Air Force,Fairchild,19,0,0
14-11-1952,Near Seoul, South Korea,Military - U.S. Air Force,Fairchild,44,0,0
15-11-1952,Near Anchorage, Alaska,Military - U.S. Air Force,Fairchild,20,0,0
17-11-1952,Shepard, Montana,Military - U.S. Air Force,Fairchild,9,7,0
22-11-1952,Mount Gannett, Alaska,Military - U.S. Air Force,Douglas,52,0,0
28-11-1952,Near Tacoma, Washington,Military - U.S. Air Force,Douglas,37,1,0
06-12-1952,Near Sofia, Bugaria,TABSO,Lisunov,18,0,0
06-12-1952,Off Bermuda-Kindley Field, Bermuda,Cubana de Aviacion,Douglas,37,4,0
20-12-1952,Moses Lake, Washington,Military - U.S. Air Force,Douglas,87,28,0
21-12-1952,Off Miami, Florida,Rutas Aéreas Nacionales SA,Curtiss,3,0,0
22-12-1952,Damascus, Syria,Syrian Air,Douglas,0,0,0
25-12-1952,Off Caracas, Venezuela,Avensa,Douglas,3,2,0
25-12-1952,Tehran, Iran,Iran Air,Douglas,27,2,0
30-12-1952,Chinmen Island, Taiwan,Philippine Air Lines,Douglas,2,8,0
05-01-1953,Belfast, Northern Ireland,British European Airways,Vickers,27,8,0
07-01-1953,Issaquah, Washington,Flying Tiger Line,Douglas,7,0,0
07-01-1953,Fish Haven, Idaho,Associated Air Transport,Curtiss,40,0,0
15-01-1953,25 nm off Agrigento, Italy,Military -Royal Air Force,Vickers,26,0,0
26-01-1953,neznama,neznama,Linee Aeree Italiane,Douglas,19,0,0
02-02-1953,Off Newfoundland, Canada,Lancashire Aircraft Corporation (Skyways),Avro,39,0,0
03-02-1953,Lai Chau, Vietnam,Air Outremer,Douglas,18,0,0
07-02-1953,Bordeaux, France,UTA,Douglas,9,10,0
09-02-1953,Cairo, Egypt,Military - Egyptian Air Force,Curtiss-Wright,29,11,0
14-02-1953,Off Mobile, Alabama,National Airlines,Douglas,46,0,0
03-03-1953,Karachi, Pakistan,Canadian Pacific Air Lines,de,11,0,0
04-03-1953,Windsor Locks, Connecticut,Slick Airways,Curtiss,2,0,0
14-03-1953,Kalasahar, India,Orient Airways,Convair,16,0,0
17-03-1953,Off Da Nang, Vietnam,Aigle Azur,Douglas,8,0,0
18-03-1953,Random Island, Newfoundland,Military - U.S. Air Force,Convair,23,0,0
18-03-1953, Stephenville, Newfoundland,u.s. Air Force,	Boeing,10,0,0
20-03-1953,Alvarado, California,Transocean Air Lines,Douglas,35,0,0
27-03-1953,Itapebi, Brazil,Transportes Aéreos Salvador,de,14,0,0
29-03-1953,Mtara, Tanganyika,Central African Airways,Vickers,13,0,0
10-04-1953,Miandivazo, Madagascar,Air France,Junkers,4,11,0
10-04-1953,Near Anchieta Island, Brazil,REAL,Doublas,0,0,0
10-04-1953,Off Kingston, Jamaica,Caribbean International Airways,Lockheed,13,0,0
14-04-1953,Near Guwahati, India,Airways,Douglas,3,0,0
14-04-1953,Selleck, Washington,Miami Airlines,Douglas,7,18,0
16-04-1953,NW of Hanoi, Vietnam,Aigle Azur,Douglas,30,0,0
20-04-1953,San Francisco Bay, California,Western Airlines,Douglas,8,2,0
02-05-1953,neznama,neznama,British Overseas Airways,de,43,0,0
07-05-1953,Off Hartland Point, England,Military - Royal Air Force,Vickers,10,0,0
09-05-1953,New Delhi, India,Air India,Douglas,18,0,0
11-05-1953,neznama,neznama,Canadian Pacific Air Lines,Consolidated,2,17,0
17-05-1953,Near Marshall, Texas,Delta Air Lines,Douglas,19,1,0
24-05-1953,St. Louis, Missouri,Meteor Air,Douglas,0,0,0
25-05-1953,Amsterdam, Netherlands,KLM Royal Dutch Airlines,Convair,0,34,2
27-05-1953,Goose Wade, Russia,Aeroflot,Li-2,20,0,0
14-06-1953,Near  Zugdidi, Georgia,Aeroflot,Ilyushin,18,0,0
15-06-1953,San Ramon Mtns., Costa Rica,LACSA,Douglas,9,8,0
15-06-1953,Near Reo Copiapo, Chile,LAN Chile,Lockheed,7,0,0
16-06-1953,Mount Phou-Lassy, French Indo-China,Aigle Azur,Douglas,34,0,0
17-06-1953,Sao Paulo, Brazil,Panair do Brasil,Lockheed,17,0,0
18-06-1953,neznama,neznama,Military - U.S. Air Force,Douglas,129,0,0
12-07-1953,Pacific Ocean, 325 miles east of Wake Island,Transocean Air Lines,Douglas,58,0,0
17-07-1953,Near Milton, Florida,Military - U.S. Navy,Fairchild,44,2,0
27-07-1953,Near Kanggye, North Korea,Aeroflot,Ilyushin,21,0,0
03-08-1953,Off Fethiye Point, Turkey,Air France,Lockheed,4,38,0
03-08-1953,Sharjah, United Arab Emirates,Orient Airways,Douglas,1,24,0
05-08-1953,neznama,neznama,Military - U.S. Air Force,,19,4,0
18-08-1953,Near San Diego, California,Aerovias Contreras,Curtiss,2,0,0
01-09-1953,Near Barcelonnette, France,Air France,Lockheed,42,0,0
01-09-1953,Vail, Washington,Regina Cargo Airlines,Douglas,21,0,0
08-09-1953,San Andres, Honduras,TACA,Douglas,3,0,0
14-09-1953,Chablekal, Mexico,Transportes Aéreos Mexicanos,Douglas,1,1,0
16-09-1953,Albany, New York,American Airlines,Convair,28,0,0
25-09-1953,Ankara, Turkey,Devlet Hava Yollari,Douglas,5,16,0
28-09-1953,Louisville, Kentucky,Resort Airlines,Curtiss,25,16,0
14-10-1953,Frankfurt, Germany,Sabena,Convair,44,0,0
17-10-1953,Lai Chau, Vietnam,Compagnie Sila,Douglas,2,5,0
19-10-1953,New York City, New York,Eastern Air Lines,Lockheed,2,25,0
19-10-1953,Near Monterrey, Mexico,Aerovias Contreras,Douglas,21,0,0
27-10-1953,Near Magadan, Russia,Aeroflot,Ilyushin,0,0,0
29-10-1953,Near Half Moon Bay, California,British Commonwealth Pacific Airlines,Douglas,19,0,0
31-10-1953,Kharkov. Ukraine, Russia,Aeroflot,Li-2L4732,15,1,0
03-11-1953,Tarabuco, Bolivia,Lloyd Aereo Boliviano,Douglas,28,0,0
11-11-1953,Off Argyll, Scotland,Military - Royal Air Force,Avro,10,0,0
04-12-1953,Near Guaderrama, Spain,Aviaco,Bristol,23,10,0
12-12-1953,Nagpur, India,Indian Airlines,Douglas,13,1,0
15-12-1953,	Tecpan Mt., Guatemala,Aviateca,Curtiss,2,0,0
15-12-1953,Near Cairo, Egypt,Misair,VC-VikingSU-AFK,0,0,0
17-12-1953,Guam, Mariana Islands,Military - U.S. Air Force,Boeing,11,5,8
19-12-1953,Zurich, Switzerland,Sabena,Convair,1,43,0
21-12-1953,Dah-el-Kadeeb, Syria,Syrian Airways,Douglas,9,6,0
02-01-1954,Herat, Afghanistan,Ariana Afghan Airlines,Douglas,21,0,0
05-01-1954,Lapseki, Turkey,Devlet Hava Yollari,Douglas,4,6,0
06-01-1954,Near Aldbury, England,Military -Royal Air Force,Vickers,16,1,0
10-01-1954,Off Elba, Italy,British Overseas Airways,de,35,0,0
11-01-1954,Manizales, Colombia,AVIANCA,Douglas,21,0,0
12-01-1954,Prague, Czech Republic,Czech Airlines,Douglas,13,5,0
13-01-1954,Signal Hill, California,Military - U.S. Air Force,F-88,1,0,6
14-01-1954,Rome, Italy,Philippine Air Lines,Douglas,16,0,0
20-01-1954,Kansas City, Missouri,Zantop Air Transport,Douglas,3,0,0
01-02-1954,Off Hokkaido, Japan,Military - U.S. Air Force,Curtiss-Wright,35,0,0
05-02-1954,Susitna Valley, Alaska,Military - U.S. Air Force,Douglas,10,6,0
12-02-1954,Off Gozo, Malta,Military - Royal Air Force,Avro,10,0,0
25-02-1954,New Delhi, India,Indian Airlines,Douglas,3,0,0
26-02-1954,Wright, Wyoming,Western Airlines,Convair,9,0,0
04-03-1954,Near St. Etienne de Tinee, France,Military - U.S. Air Force,Douglas,20,0,0
13-03-1954,Dien Bien Phu, South Vietnam,Aigle Azur,C-46?,0,0,0
13-03-1954,Kallang Airport, Singapore,British Overseas Airways,Lockheed,33,7,0
14-03-1954,Off Mackay, Australia,Queensland Airlines,Douglas,2,0,0
19-03-1954,Near Lothian, Maryland,Military - U.S. Air Force,Fairchild,18,0,0
26-03-1954,Monterrey, Mexico,Aeronaves de Mexico,Douglas,18,0,0
03-04-1954,Kabassaak, Turkey,Devlet Hava Yollari,Douglas,25,0,0
04-04-1954,Hanoi, Vietnam,Autrex,Douglas,4,0,0
08-04-1954,Off Stromboli, Italy,"South African Airways, leased from British Overseas Airways",de,21,0,0
08-04-1954,neznama,neznama,Trans Canada Air Lines / RCAF,Canadair,36,0,1
13-04-1954,Batuco, Chile,LAN,Douglas,14,0,0
13-04-1954,Xieng Kouang, Laos,Societe Indochinoise de Raviteillement,Lockheed,16,7,0
23-04-1954,Sierra del Vilgo, Argentina,Aerolineas Argentinas,Douglas,25,0,0
30-04-1954,Near Calcutta, India,Darbhanga Aviation,Douglas,5,6,0
22-05-1954,Paraparaumu, New Zealand,New Zealand National Airways,Douglas,3,25,0
31-05-1954,Cipo Mountain, Brazil,Transportes Aereos Nacionales,Douglas,19,0,0
03-06-1954,Near Maribor, Slovenia,Sabena,Douglas,1,3,0
04-06-1954,Sao Paulo, Brazil,Varig,Curtiss,3,0,0
08-06-1954,Da Nang, Vietnam,Soc. de Tr. Aériens d'Extrême Orient,Douglas,4,0,0
19-06-1954,Off Folkestone, England,Swissair,Convair,3,6,0
02-07-1954,Near Salvador, Brazil,Military - Brazilian Air Force,Lockheed,24,0,0
23-07-1954,Off Hainan Island, China,Cathay Pacific Airways,Douglas,10,8,0
08-08-1954,Near McGrath, Alaska,Alaska Airlines,Douglas,2,0,0
09-08-1954,neznama,neznama,AVIANCA,Lockheed,30,0,0
12-08-1954,neznama,neznama,Autrex,Douglas,3,0,0
16-08-1954,Near Pakse, Laos,Air Vietnam (South Vietnam),Bristol,47,8,0
22-08-1954,Near Mason City, Iowa,Braniff Airlines,Douglas,12,7,0
23-08-1954,Off IJuuiden, North Sea,KLM Royal Dutch Airlines,Douglas,21,0,0
26-08-1954,Sakhalin Oblast, Russia,Aeroflot,Lisunov,26,1,1
27-08-1954,Near Rapid City, South Dekota,Military - U.S. Air Force,Convair,26,1,0
05-09-1954,Foynes, Ireland,KLM Royal Dutch Airlines,Lockheed,28,28,0
12-09-1954,Off Rio de Janeiro, Brazil,Cruzeiro,Douglas,6,20,0
15-09-1954,Cairo, Egypt,Misrair,Vickers,3,1,0
27-09-1954, Novosibirsk, Russia,Aeroflot,Ilyushin,29,0,0
24-10-1954,Near Nice, Italy,Military - U.S. Air Force,Douglas,21,0,0
28-10-1954, Krasnoyarsk Territory, Russia,Aeroflot,Ilyushin,16,0,0
30-10-1954,Off Ocean City, Maryland,Military - U.S. Navy,Lockheed,42,0,0
31-10-1954,Mangalore, Australia,TAA,Vickers,3,5,0
16-11-1954,neznama,neznama,TAM (Brazil),Douglas,24,0,0
30-11-1954,Berlin, New Hampshire,Northeast Airlines,Douglas,2,5,0
04-12-1954,Near Luang Pragang, Laos,Air Laos,Douglas,29,0,0
12-12-1954,Bratislava, Slovakia,Ceskoslovenské Aerolinie,Douglas,4,0,0
18-12-1954,New York, New York,Linee Aeree Italiane,Douglas,26,6,0
18-12-1954,Near Bolivar, Venezuela,Linea Aeropostal Venezolana,Douglas,2,0,0
22-12-1954,Pittsburgh, Pennsylvania,Johnson Flying Service,Douglas,10,18,0
25-12-1954,neznama,neznama,British Overseas Airways,Boeing,28,8,0
31-12-1954,Irkutsk, Russia,Aeroflot,Ilyushin,17,0,0
01-01-1955,Near Anchorage, Alaska,Military - US Air Force,Douglas,12,0,0
11-01-1955,Off Skellings, Ireland,Military -Royal Air Force,Avro,18,0,0
12-01-1955,neznama,neznama,Trans World Airlines / Castleton Inc.,Martin,15,0,0
15-01-1955,neznama,neznama,Ontario Hydro,Grumman,1,4,0
19-01-1955,Des Moines, Iowa,United Air Lines,Convair,0,39,0
31-01-1955,Lapadrera, Colombia,Interamericana de Aviacion,Consolidated,5,0,0
02-02-1955,Nagpur, India,Indian Airlines,Douglas,10,0,0
05-02-1955,Near Calabar, Nigeria,West African Airways,Bristol,13,0,0
13-02-1955,Abruzzio Mountains, Italy,Sabena,Douglas,29,0,0
19-02-1955,Albuquerque, New Mexico,Trans World Airlines,Martin,16,0,0
23-02-1955,Salisbury,  Zimbabwe,Central African Airways,Douglas,1,25,0
26-02-1955,Formosa, Argentina,de Havilland Dove,de,0,0,0
06-03-1955,Vitoria da Conquista, Brazil,REAL,Douglas,5,16,0
07-03-1955,Near Cuidad de Valles, Mexic,Private,,0,0,0
08-03-1955,Mascota, Mexico,Mexicana,Douglas,26,0,0
09-03-1955,Trujillo, Colombia,AVIANCA,Douglas,8,0,0
20-03-1955,Springfield, Missouri,American Airlines,Convair,13,22,0
22-03-1955,Oahu, Hawaii,Military - U.S. Navy,Douglas,66,0,0
26-03-1955,neznama,neznama,Pan American World Airways,Boeing,4,19,0
02-04-1955,Off Pensacola, Florida,Aaxico Airlines,Curtiss,2,0,0
04-04-1955,Islip, New York,United Air Lines,Douglas,3,0,0
11-04-1955,Off Great Natuna Island, Sarawak,Air India,Lockheed,19,0,0
18-04-1955,Kupe Mountains, Cameroons,Union des Transportes Aeriens,de,12,2,0
18-05-1955,Mt. Kilimanjaro, Kenya,East African Airways,Douglas,20,0,0
21-05-1955,Off Barcelona, Venezuela,Linea Aeropostal Venezolana,Douglas,4,12,0
26-05-1955,neznama,neznama,Associated Airways,Avro,2,0,0
03-06-1955,Fort Lamy, Cameroon,Union Aéromaritime de Transport,Douglas,3,0,0
16-06-1955,Near Asuncion, Paraguay,Panair do Brasil,Lockheed,16,8,0
18-06-1955,Leon, Mexico,Tigres Voladores,Curtiss,18,21,0
14-07-1955,Oaxaca, Mexico,Lineas Areas Unidas,Douglas,22,0,0
17-07-1955,Chicago, Illinois,Braniff Airlines,Convair,22,21,0
27-07-1955,Near Petrich, Bulgaria,El Al,Lockheed,58,0,0
04-08-1955,Fort Leonard Wood, Missouri,American Airlines,Convair,30,0,0
05-08-1955,Near Voronezh, Russia,Aeroflot,AeroflotL5057,25,0,0
11-08-1955,Near Edelweiler, West Germany,Military - U.S. Air Force / Military - U.S. Air Force,Fairchild,67,0,0
26-08-1955,Caparao Mountain, Brazil,Cruzeiro,Douglas,13,0,0
30-08-1955,Simra, Nepal,Kalinga Airlines,Douglas,2,1,0
02-09-1955,Lanywa, Burma (Myanmar),Union of Burma Airways,Douglas,12,0,0
08-09-1955,Burbank, California,Currey Air Transport,Douglas,2,31,1
10-09-1955,Near Banyo, Cameroon,Societe France Hydro,Latecoere,16,0,0
17-09-1955,neznama,neznama,Pacific Western Airlines,Bristol,2,4,0
22-09-1955,Idris, Libya,British Overseas Airways,Canadair,15,32,0
24-09-1955,neznama,neznama,Flying Tiger Line,Douglas,3,2,0
29-09-1955,neznama,neznama,Associated Airways,Avro,1,1,0
02-10-1955,Pico Oiriruma-Vinac, Peru,Faucett,Douglas,19,16,0
06-10-1955,Near Centennial, Wyoming,United Air Lines,Douglas,66,0,0
10-10-1955, Near Vienna, Austria,JAT Yugoslav Airlines,Convair,7,22,0
01-11-1955,Longmont, Colorado,United Air Lines,Douglas,44,0,0
17-11-1955,Near Las Vegas, Nevada,Military - U.S. Air Force,Douglas,14,0,0
17-11-1955,Seattle, Washingon,Peninsular,Douglas,28,46,0
20-11-1955,Iwo Jima, Japan,Military - US Air Force,Douglas,10,1,0
30-11-1955,Near Ballico, California,Military - U.S. Air Force,Boeing,10,0,0
01-12-1955,Belem, Brazil,Cruzeiro,Douglas,6,0,0
09-12-1955,Khabarovsk Territory, Russia,Aeroflot,Li-2CCCP-L4993,21,0,0
17-12-1955,Hollywood, South Carolina,Riddle Airlines,Curtiss,2,0,0
19-12-1955,Sao Paulo, Brazil,Cruzeiro Do Sud,Douglas,26,0,0
21-12-1955,Jacksonville, Florida,Eastern Air Lines,Lockheed,17,0,0
12-01-1956,Frederick Henry Bay,  Australia,Ansett ANA,Douglas,1,1,0
17-01-1956,neznama,neznama,Quebecair,Douglas,4,14,0
18-01-1956,Torysa, Czechoslovakia,Ceskoslovenske Aerolinie,Douglas,22,4,0
28-01-1956,Lyon, France,Air France,Douglas,3,0,0
13-02-1956,Frobisher Bay, Canada,Maritime Central Airways,Bristol,2,0,0
14-02-1956,neznama,neznama,Spartan Air Services,Douglas,2,1,0
17-02-1956,Near Niles, California,Military - U.S. Marine Corps,Douglas,40,0,0
18-02-1956,Near Zurrieg, Malta,Scottish Airlines,Avro,50,0,0
20-02-1956,Near Cairo, Egypt,Transport Aerien Intercontinentaux (France),Douglas,52,12,0
24-02-1956,Near Aleppo, Syria,Syrian Airways,Douglas,19,0,0
25-02-1956,Jalkot, Pakistan,Pakistan International Airlines,Douglas,3,0,0
21-03-1956,Tezpur, India,Indian Airlines,Douglas,2,19,0
28-03-1956,Largs, England,Starways,Douglas,1,2,0
31-03-1956,Indapur, India,National Air Operators,Douglas,3,0,0
31-03-1956,Korat ,Thailand,Military - Royal Thai Air Force,Douglas,19,0,0
01-04-1956,Pittsburgh, Pennsylvania,Trans World Airlines,Martin,22,14,0
02-04-1956,Seattle, Washington,Northwest Orient Airlines,Boeing,5,33,0
09-04-1956,Skilak Lake, Alaska,Cordova Airlines,Aero,6,0,0
18-04-1956,Parintins, Brazil,Panair do Brasil,Consolidated,3,9,0
30-04-1956,London, England,Scottish Airlines,Avro,2,52,0
15-05-1956,Kathmandu, Nepal,Indian Airlines,Douglas,14,17,1
15-05-1956,neznama,neznama,Military - Royal Canadian Air Force,CF-100,2,0,13
24-05-1956,Guatemala City, Guatemala,Aviateca,Douglas,30,1,0
13-06-1956,neznama,neznama,Piedmont,Douglas,0,0,0
20-06-1956,Asbury Park, New Jersey,Linea Aeropostal Venezolana,Lockheed,74,0,0
24-06-1956,Kano, Nigeria,British Overseas Airways,Canadair,32,13,0
30-06-1956,Grand Canyon, Arizona,United Air Lines / Trans World Airlines,Douglas,128,0,0
09-07-1956,Near Flat Rock, Michigan,Trans Canada Air Lines,Vickers,1,34,0
13-07-1956,Near Brows Mills, New Jersey,Military - U.S. Air Force,Douglas,46,20,0
15-07-1956,Shannon, Ireland,Swissair,Convair,4,0,0
16-07-1956,Rio Cuarto, Argentina,Aerolineas Argentinas,Douglas,18,0,0
08-08-1956,Thazi, Burma,Union of Burma Airways,Douglas,12,10,0
29-08-1956,Cold Bay, Alaska,Canadian Pacific Air Lines,Douglas,15,7,0
09-09-1956,Amman, Jordan,Jordan International Airlines,Curtiss,1,56,0
09-09-1956,Bartlesville, Oklahoma,Continental Airlines,Douglas,0,18,0
02-10-1956,Near Nome, Alaska,Alaska Airlines,Stinson,5,0,0
10-10-1956,Off Land's End, England,Military - U.S. Navy,Douglas,59,0,0
16-10-1956,neznama,neznama,Pan American World Airways,Boeing,0,31,0
19-10-1956,Agartala, India,Indian Airlines,Douglas,3,0,0
28-10-1956,neznama,neznama,Military - Egyptian Air Force,Curtiss,16,0,0
05-11-1956,Blackbushe, England,Britavia,Handley,7,73,0
07-11-1956,Hommelfjell, Norway,Braathens,de,2,10,0
15-11-1956,Puerto Somoza, Nicaragua,Aerovias Guest,Douglas,25,0,0
17-11-1956,El Rucio Mountain, Colombia,Empresa Aviacion del Pacifico,Douglas,36,0,0
24-11-1956,Paris, France,Linee Aeree Italiane,Douglas,34,1,8
24-11-1956,Near Eglisau, Switzerland,Ceskoslovenske Aerolinie,Ilyushin,23,0,0
27-11-1956,Caracas, Venezuela,Linea Aeropostal Venezolana,Lockheed,25,0,0
08-12-1956,Caqueta, Colombia,AIDA,Consolidated,14,2,0
