date,location,aircraft_brand,no_deaths
03-06-2012,"Lagos, NigeriaDana Air",McDonnell,153
06-06-2012,"Hualla Hualla, Mount Mamarosa, Peru HeliCusco",Sikorsly,14
11-06-2012,"Near Serov, RussiaIllegal flight",Antonov,13
21-06-2012,"Jakarta, IndonesiaMilitary - Indonesian Air Force",Fokker,7
18-08-2012,"Off Masbate Island, PhilippinesAviatour's Fly'n Inc.",PA-34-200,3
19-08-2012,"Talodi, SudanAlfa Airlines",Antonov,32
12-09-2012,"Near Palana, RussiaPetropavlovsk-Kamchatsky Air Enteprise",Antonov,10
28-09-2012,"Kathmandu, NepalSita Air",Dornier,19
07-10-2012,"Near Omdurman, SudanMilitary - Sudanese Air Force",Antonov,15
07-10-2012,AntiguaFly Montserrat,Britten-Norman,3
21-11-2012,"San'a, YemenMilitary - Yemen Air Force",Antonov,10
30-11-2012,"Near Brazzaville, CongoAero Service",Ilysushin,7
05-12-2012,"Near Ladysmith, South AfricaMilitary - South African Air Force",Douglas,11
09-12-2012,"Near Iturbide, MexicoStarwood Management LLC",Learjet,7
25-12-2012,"Near Shymkent, KazakhstanMilitary - Kazakhstan Border Guards",Antonov,27
25-12-2012,"Heho, MyanmarAir Bagan",Fokker,1
29-12-2012,"Moscow, RussiaRed Wings Airlines",Tupolev,5
02-01-2013,"Near Clear Lake, IowaMed-Trans Corporaion",Bell,3
04-01-2013,"Off Los Roques, VenezuelaTransaereo 5074",Britten,6
29-01-2013,"Near Kyzyltu, KazakhstanSCAT Air",Canadair,21
13-02-2013,"Donetsk, UkraineSouth Airlines",Antonov,5
04-03-2013,"Goma, CongoCompagnie Africaine d' Aviation (CAA)",Fokker,7
08-03-2013,"Near Dillingham, AlaskaAce Air Cargo",Beechcraft,2
13-04-2013,"Denpasar, IndonesiaLion Air",Boeing,0
29-04-2013,"Bagram Air Base, AfghanistanNational Air Cargo",Boeing,7
31-05-2013,"Moosonee, OntarioOrnge Air Ambulance",Sikorsky,4
25-06-2013,"Gaurikund, near Kedarnath, Uttarakhand State, India.Indian Air Force",MI,20
06-07-2013,"San Francisco, CaliforniaAsiana Airlines",Boeing,3
07-07-2013,"Soldotna, AlaksaRediske Air",de,10
09-08-2013,"Mogadishu, SomaliaMilitary - Ethiopian Air Force",Antonov,4
14-08-2013,"Birmingham, AlabamaUnited Parcel Service",Airbus,2
03-10-2013,"Lagos, NigeriaAssociated Aviation",Embraer,16
10-10-2013,"Kudat, MalaysiaMASwings",de,2
16-10-2013,"Near Pakse, LaosLao Airlines",ATR-72-50RDPL-34233 ,49
03-11-2013,"Riberalta, BoliviaAerocon",Swearingen,8
09-11-2013,"Pujungan, Malinau district, BorneoMilitary - Indonesian Army",Mil-,13
10-11-2013,"Red Lake, Ontario, CanadaBearskin Airlines",Swearingen,5
17-11-2013,"Near Kazan, RussiaTararstan Airlilnes",Boeing,50
29-11-2013,Glasgow ScotlandBond Air Services Ltd.,Eurocopter,3
29-11-2013,"Bwabwata National Park, NambiaMozambique Airline",Embraer,33
05-12-2013,"Near Cachimbo, BrazilHeringer Taxi Aero",Britten,5
26-12-2013,"Irkutsk, RussiaIrAvia",Antonov,9
20-01-2014,Near Petreasa RomaniaScoala Superioara de Aviatie Civla,Britten,2
11-02-2014,"Near Ain Kercha, AlgeriaMilitary - Algerian Air Force",Lockheed,76
16-02-2014,"Sandhikhark, NepalNepal Airlines",de,18
21-02-2014,"Grombalia, TunisiaLibyan Air Cargo",Antonov,11
08-03-2014,South Indian OceanMalaysia Airlines,Boeing,239
18-03-2014,"Seattle, WashingtonHelicopters Inc / KOMO TV",Urocopter,2
19-04-2014,"Ramos Arizpe, MexicoLineas Aereas Comerciales",British,8
20-04-2014,"Jamijarvi, FinlandSuomen Urheiluilmailijat",Aerocomp,8
08-05-2014,"Near San Vicente del Caguan, ColombiaAlisansa Colombia",Douglas,6
17-05-2014,"Xiang Khouang province, LaosLaos Air Force",Antonov,16
14-06-2014,"Lugansk, UkraineMilitary - Ukraine Air Force",Ilyushin,49
02-07-2014,"Near Nairobi, KenyaSkyward International Aviation",Fokker,4
07-07-2014,"Thach That district, VietnamMilitary - Vietnam People's Army Air Force",Mil,18
17-07-2014,"Hrabove, UkraineMalaysia Airlines",Boeing,298
